sample_id,dataset,style,final_answer,final_answer_reversed
1,Mor dataset,photorealistic,right,right
1,other team dataset,171,right,right
1,other team dataset,2772519796,right,right
1,other team dataset,3892542136,right,right
1,other team dataset,449300612,right,right
1,VLM image dataset,anime,middle,middle
1,VLM image dataset,paper cut,middle,middle
1,VLM image dataset,sketched,right,middle
10,Mor dataset,photorealistic,right,middle
10,VLM image dataset,anime,middle,right
10,VLM image dataset,paper cut,right,right
10,VLM image dataset,sketched,right,right
106,Mor dataset,photorealistic,middle,right
106,other team dataset,171,middle,middle
106,other team dataset,2772519796,right,right
106,other team dataset,3892542136,right,right
106,other team dataset,449300612,middle,right
11,Mor dataset,photorealistic,middle,middle
11,other team dataset,171,middle,right
11,other team dataset,2772519796,middle,middle
11,other team dataset,3892542136,middle,middle
11,other team dataset,449300612,right,middle
11,VLM image dataset,anime,middle,middle
11,VLM image dataset,paper cut,middle,middle
11,VLM image dataset,sketched,middle,middle
111,Mor dataset,photorealistic,right,right
113,Mor dataset,photorealistic,right,right
116,Mor dataset,photorealistic,right,middle
117,Mor dataset,photorealistic,right,right
118,Mor dataset,photorealistic,right,right
118,VLM image dataset,anime,right,middle
118,VLM image dataset,paper cut,right,right
118,VLM image dataset,photographed,right,right
118,VLM image dataset,sketched,right,right
119,Mor dataset,photorealistic,right,right
12,Mor dataset,photorealistic,right,right
12,VLM image dataset,anime,right,right
12,VLM image dataset,paper cut,middle,middle
12,VLM image dataset,sketched,right,right
124,Mor dataset,photorealistic,right,middle
127,Mor dataset,photorealistic,right,right
13,Mor dataset,photorealistic,right,right
131,Mor dataset,photorealistic,right,right
132,Mor dataset,photorealistic,right,middle
132,other team dataset,171,right,middle
132,other team dataset,2772519796,right,right
132,other team dataset,3892542136,right,right
132,other team dataset,449300612,middle,right
133,Mor dataset,photorealistic,right,right
134,Mor dataset,photorealistic,middle,right
136,VLM image dataset,anime,middle,middle
136,VLM image dataset,paper cut,right,middle
136,VLM image dataset,sketched,right,right
14,Mor dataset,photorealistic,right,right
140,Mor dataset,photorealistic,middle,right
140,other team dataset,171,right,middle
140,other team dataset,2772519796,middle,right
140,other team dataset,3892542136,right,right
140,other team dataset,449300612,middle,right
141,Mor dataset,photorealistic,right,middle
141,other team dataset,171,middle,right
141,other team dataset,2772519796,right,right
141,other team dataset,3892542136,right,right
141,other team dataset,449300612,middle,right
141,VLM image dataset,anime,middle,middle
141,VLM image dataset,paper cut,middle,middle
141,VLM image dataset,sketched,right,right
145,Mor dataset,photorealistic,right,right
149,Mor dataset,photorealistic,right,right
149,VLM image dataset,anime,right,middle
149,VLM image dataset,paper cut,right,right
149,VLM image dataset,sketched,right,right
15,Mor dataset,photorealistic,right,right
150,Mor dataset,photorealistic,middle,middle
153,Mor dataset,photorealistic,middle,right
156,Mor dataset,photorealistic,right,right
158,Mor dataset,photorealistic,right,right
159,Mor dataset,photorealistic,right,middle
16,Mor dataset,photorealistic,right,right
16,VLM image dataset,anime,right,right
16,VLM image dataset,paper cut,right,middle
16,VLM image dataset,sketched,right,right
162,Mor dataset,photorealistic,right,right
162,other team dataset,171,right,right
162,other team dataset,2772519796,right,right
162,other team dataset,3892542136,right,middle
162,other team dataset,449300612,right,right
164,Mor dataset,photorealistic,right,right
167,Mor dataset,photorealistic,right,right
168,Mor dataset,photorealistic,right,right
17,Mor dataset,photorealistic,right,right
172,Mor dataset,photorealistic,right,right
172,other team dataset,171,middle,right
172,other team dataset,2772519796,right,right
172,other team dataset,3892542136,right,right
172,other team dataset,449300612,right,right
172,VLM image dataset,anime,right,right
172,VLM image dataset,paper cut,right,middle
172,VLM image dataset,sketched,right,right
174,Mor dataset,photorealistic,right,middle
177,Mor dataset,photorealistic,right,right
178,Mor dataset,photorealistic,middle,right
178,other team dataset,171,right,right
178,other team dataset,2772519796,right,right
178,other team dataset,3892542136,right,right
178,other team dataset,449300612,middle,middle
179,Mor dataset,photorealistic,right,right
18,Mor dataset,photorealistic,right,middle
181,Mor dataset,photorealistic,right,right
182,Mor dataset,photorealistic,middle,middle
184,Mor dataset,photorealistic,right,right
184,VLM image dataset,anime,right,right
184,VLM image dataset,paper cut,right,right
184,VLM image dataset,sketched,right,right
187,Mor dataset,photorealistic,middle,middle
187,other team dataset,171,right,middle
187,other team dataset,2772519796,middle,right
187,other team dataset,3892542136,middle,right
187,other team dataset,449300612,middle,middle
188,Mor dataset,photorealistic,right,middle
189,Mor dataset,photorealistic,right,right
189,VLM image dataset,anime,right,right
189,VLM image dataset,paper cut,right,right
189,VLM image dataset,sketched,right,right
19,Mor dataset,photorealistic,right,right
192,Mor dataset,photorealistic,right,right
192,other team dataset,171,right,right
192,other team dataset,2772519796,right,right
192,other team dataset,3892542136,right,right
192,other team dataset,449300612,right,right
193,Mor dataset,photorealistic,middle,middle
194,Mor dataset,photorealistic,right,right
195,Mor dataset,photorealistic,right,right
196,Mor dataset,photorealistic,right,right
199,Mor dataset,photorealistic,middle,right
199,other team dataset,171,middle,right
199,other team dataset,2772519796,middle,right
199,other team dataset,3892542136,right,right
199,other team dataset,449300612,right,right
199,VLM image dataset,anime,right,right
199,VLM image dataset,paper cut,right,right
199,VLM image dataset,sketched,right,right
2,Mor dataset,photorealistic,middle,right
20,Mor dataset,photorealistic,right,right
20,VLM image dataset,anime,right,right
20,VLM image dataset,paper cut,middle,middle
20,VLM image dataset,sketched,middle,right
200,Mor dataset,photorealistic,right,right
204,Mor dataset,photorealistic,right,right
205,Mor dataset,photorealistic,right,right
